Date,Year,Month,Rain,Max_T.,Min_T.,Cloud,Releted Hum.,Sea Level P.,Wind
1990-01-11,1990,1,0.0,21.6,10.9,0.0,78.0,1014.2,2.0
1991-01-11,1991,1,0.0,24.7,16.8,4.0,77.0,1015.4,2.0
1992-01-11,1992,1,0.0,24.8,13.0,0.0,75.0,1018.0,0.0
1993-01-11,1993,1,0.0,24.5,12.2,4.0,78.0,1013.0,3.0
1994-01-11,1994,1,0.0,26.6,14.5,2.0,80.0,1013.8,2.0
1995-01-11,1995,1,0.0,26.3,15.8,2.0,72.0,1015.4,1.5
1996-01-11,1996,1,0.0,26.8,13.6,0.0,68.0,1012.1,1.0
1997-01-11,1997,1,0.0,27.0,14.0,0.0,64.0,1017.6,1.3
1998-01-11,1998,1,0.0,20.5,7.8,4.0,85.0,1014.0,1.7
1999-01-11,1999,1,0.0,23.5,11.0,0.0,75.0,1016.2,2.3
2000-01-11,2000,1,0.0,26.5,13.7,0.0,73.0,1013.8,0.0
2001-01-11,2001,1,0.0,21.4,11.0,0.0,54.0,1013.8,2.7
2002-01-11,2002,1,0.0,25.6,15.2,0.0,59.0,1015.4,2.7
2003-01-11,2003,1,0.0,16.4,11.0,3.0,89.0,1018.7,3.0
2004-01-11,2004,1,0.0,26.2,13.3,0.0,73.0,1015.3,1.0
2005-01-11,2005,1,0.0,18.8,15.5,6.0,87.0,1014.2,3.3
2006-01-11,2006,1,0.0,23.4,11.0,0.0,78.0,1014.0,3.0
2007-01-11,2007,1,0.0,24.6,12.0,1.0,70.0,1015.5,3.0
2008-01-11,2008,1,0.0,29.0,15.1,0.0,62.0,1012.9,2.0
2009-01-11,2009,1,0.0,26.9,14.5,0.0,66.0,1016.8,5.0
2010-01-11,2010,1,0.0,20.7,10.6,0.0,77.0,1015.3,2.0
2011-01-11,2011,1,0.0,18.3,8.4,1.0,76.0,1011.4,3.0
2012-01-11,2012,1,1.0,24.5,17.0,1.0,72.0,1015.5,2.8
2013-01-11,2013,1,0.0,19.4,8.0,0.0,79.0,1014.5,0.0
2014-01-11,2014,1,0.0,27.2,11.7,3.0,63.0,1016.1,2.0
2015-01-11,2015,1,0.0,21.0,11.4,1.0,77.0,1016.9,1.8
2016-01-11,2016,1,0.0,25.1,12.5,2.0,56.0,1015.5,2.0
2017-01-11,2017,1,0.0,25.0,14.8,0.0,67.0,1012.4,2.0
1988-01-12,1988,1,0.0,28.0,13.3,0.0,75.0,1015.9,0.0
1989-01-12,1989,1,0.0,21.7,9.4,0.0,62.0,1016.2,3.5
1990-01-12,1990,1,0.0,25.0,10.9,0.0,76.0,1013.7,2.0
1991-01-12,1991,1,0.0,24.5,16.6,7.0,75.0,1015.7,4.0
